jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
9,15/01/22,,,singles,,,,,,,NEW OLIVER BADALONA,A,10817,RATERA Domènec,2,,,,,,CTT ATENEU 1882,Y,14286,SCHAFER Christian Martin,3,,,,
9,15/01/22,,,singles,,,,,,,NEW OLIVER BADALONA,B,11284,SANZ Marcel,3,,,,,,CTT ATENEU 1882,X,12219,ROMO Miquel,2,,,,
9,15/01/22,,,singles,,,,,,,NEW OLIVER BADALONA,C,10351,GARRIGA Sergi,1,,,,,,CTT ATENEU 1882,Z,8430,MARTINEZ Ivan,3,,,,
9,15/01/22,,,singles,,,,,,,NEW OLIVER BADALONA,A,10817,RATERA Domènec,0,,,,,,CTT ATENEU 1882,X,12219,ROMO Miquel,3,,,,
9,15/01/22,,,singles,,,,,,,NEW OLIVER BADALONA,C,10351,GARRIGA Sergi,1,,,,,,CTT ATENEU 1882,Y,14286,SCHAFER Christian Martin,3,,,,
9,15/01/22,,,singles,,,,,,,NEW OLIVER BADALONA,B,11284,SANZ Marcel,1,,,,,,CTT ATENEU 1882,Z,8430,MARTINEZ Ivan,3,,,,
9,15/01/22,,,singles,,,,,,,CTT BARCELONA ''B'',Y,7981,SORIANO Manuel,2,,,,,,CTT SENTMENAT,A,12159,BAULENAS Lluis,3,,,,
9,15/01/22,,,singles,,,,,,,CTT BARCELONA ''B'',Y,7981,SORIANO Manuel,2,,,,,,CTT SENTMENAT,C,14622,MANY Marti,3,,,,
9,16/01/22,,,singles,,,,,,,CTT ELS AMICS DE TERRASSA ''B'',Y,13448,PAGÈS Pere,1,,,,,,FOMENT MARTINENC,A,11204,ORTÍ Francesc,3,,,,
9,16/01/22,,,singles,,,,,,,CTT ELS AMICS DE TERRASSA ''B'',X,11561,PAGÈS Anna,0,,,,,,FOMENT MARTINENC,B,14151,DEL BOSQUE Fermin,3,,,,
9,16/01/22,,,singles,,,,,,,CTT ELS AMICS DE TERRASSA ''B'',Z,13447,PAGÈS Mireia,3,,,,,,FOMENT MARTINENC,C,8517,RIBAS Jose,0,,,,
9,16/01/22,,,singles,,,,,,,CTT ELS AMICS DE TERRASSA ''B'',X,11561,PAGÈS Anna,3,,,,,,FOMENT MARTINENC,A,11204,ORTÍ Francesc,1,,,,
9,16/01/22,,,singles,,,,,,,CTT ELS AMICS DE TERRASSA ''B'',Y,13448,PAGÈS Pere,3,,,,,,FOMENT MARTINENC,C,8517,RIBAS Jose,1,,,,
9,16/01/22,,,singles,,,,,,,CTT ELS AMICS DE TERRASSA ''B'',Z,13447,PAGÈS Mireia,1,,,,,,FOMENT MARTINENC,B,14151,DEL BOSQUE Fermin,3,,,,
9,15/01/22,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,A,13097,CARDONA Biel,3,,,,,,CTT JOSEP M. PALES,Y,13882,RIERA Misha,0,,,,
9,15/01/22,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,B,7307,FLORES Emma,3,,,,,,CTT JOSEP M. PALES,X,14435,FALANDT Nicolas,0,,,,
9,15/01/22,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,C,13098,CARDONA Eduard,3,,,,,,CTT JOSEP M. PALES,Z,15660,YAÑEZ Biel,0,,,,
9,15/01/22,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,A,13097,CARDONA Biel,3,,,,,,CTT JOSEP M. PALES,X,14435,FALANDT Nicolas,0,,,,
9,15/01/22,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,C,13098,CARDONA Eduard,3,,,,,,CTT JOSEP M. PALES,Y,13882,RIERA Misha,0,,,,
9,15/01/22,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,B,7307,FLORES Emma,3,,,,,,CTT JOSEP M. PALES,Z,15660,YAÑEZ Biel,0,,,,
