jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
18,22/03/25,,,singles,,,,,,,CTT VILAFRANCA ''A'',Y,6656,ALVAREZ Antonio,0,,,,,,GIRBAU VIC TT,A,11949,DACHS Gil,3,,,,
18,22/03/25,,,singles,,,,,,,CTT VILAFRANCA ''A'',X,7547,APARICIO David,0,,,,,,GIRBAU VIC TT,B,8615,PORTET Joaquim,3,,,,
18,22/03/25,,,singles,,,,,,,CTT VILAFRANCA ''A'',Z,321,JUAN Alfredo,0,,,,,,GIRBAU VIC TT,C,12868,TORRENTS Joan,3,,,,
18,22/03/25,,,singles,,,,,,,CTT VILAFRANCA ''A'',X,7547,APARICIO David,0,,,,,,GIRBAU VIC TT,A,11949,DACHS Gil,3,,,,
18,22/03/25,,,singles,,,,,,,CTT VILAFRANCA ''A'',Y,6656,ALVAREZ Antonio,0,,,,,,GIRBAU VIC TT,C,12868,TORRENTS Joan,3,,,,
18,22/03/25,,,singles,,,,,,,CTT VILAFRANCA ''A'',Z,321,JUAN Alfredo,0,,,,,,GIRBAU VIC TT,B,8615,PORTET Joaquim,3,,,,
18,23/03/25,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,A,5454,POYATOS Xavier,3,,,,,,CTT CARDEDEU EIG,Y,10609,GARRIDO Joel,0,,,,
18,23/03/25,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,B,1928,MALDONADO Miquel,1,,,,,,CTT CARDEDEU EIG,X,15266,SUBIRANA Biel,3,,,,
18,23/03/25,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,C,8008,VARGAS Neo,3,,,,,,CTT CARDEDEU EIG,Z,17349,MARCHAN Richard,2,,,,
18,23/03/25,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,A,5454,POYATOS Xavier,0,,,,,,CTT CARDEDEU EIG,X,15266,SUBIRANA Biel,3,,,,
18,23/03/25,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,C,8008,VARGAS Neo,3,,,,,,CTT CARDEDEU EIG,Y,10609,GARRIDO Joel,0,,,,
18,23/03/25,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,B,1928,MALDONADO Miquel,3,,,,,,CTT CARDEDEU EIG,Z,17349,MARCHAN Richard,2,,,,
18,23/03/25,,,singles,,,,,,,CTT GRANOLLERS,Y,1156,SELVA David,2,,,,,,CTT BARCELONA ''B'',A,11821,MESTRE Lluc,3,,,,
18,23/03/25,,,singles,,,,,,,CTT GRANOLLERS,X,12657,COROMINAS Xavier,1,,,,,,CTT BARCELONA ''B'',B,13124,PLANES Arnau,3,,,,
18,23/03/25,,,singles,,,,,,,CTT GRANOLLERS,Z,17668,ORTEGA Sergi,0,,,,,,CTT BARCELONA ''B'',C,17171,CASTAÑEDA Victor Jesus,3,,,,
18,23/03/25,,,singles,,,,,,,CTT GRANOLLERS,X,12657,COROMINAS Xavier,0,,,,,,CTT BARCELONA ''B'',A,11821,MESTRE Lluc,3,,,,
18,23/03/25,,,singles,,,,,,,CTT GRANOLLERS,Y,1156,SELVA David,0,,,,,,CTT BARCELONA ''B'',C,17171,CASTAÑEDA Victor Jesus,3,,,,
18,23/03/25,,,singles,,,,,,,CTT GRANOLLERS,Z,17668,ORTEGA Sergi,0,,,,,,CTT BARCELONA ''B'',B,13124,PLANES Arnau,3,,,,
18,23/03/25,,,singles,,,,,,,BELLVITGE ALHEÑA,A,494,GONZÁLEZ Ricard,2,,,,,,FORN BERTRAN BADALONA,Y,7744,GARCIA Eduard,3,,,,
18,23/03/25,,,singles,,,,,,,BELLVITGE ALHEÑA,B,12706,MUR Francisco,0,,,,,,FORN BERTRAN BADALONA,X,12059,REQUENA Saúl,3,,,,
18,23/03/25,,,singles,,,,,,,BELLVITGE ALHEÑA,C,8895,AIXA Josep Mª,0,,,,,,FORN BERTRAN BADALONA,Z,13638,GUTIÉRREZ Marc,3,,,,
18,23/03/25,,,singles,,,,,,,BELLVITGE ALHEÑA,A,494,GONZÁLEZ Ricard,0,,,,,,FORN BERTRAN BADALONA,X,12059,REQUENA Saúl,3,,,,
18,23/03/25,,,singles,,,,,,,BELLVITGE ALHEÑA,C,8895,AIXA Josep Mª,2,,,,,,FORN BERTRAN BADALONA,Y,7744,GARCIA Eduard,3,,,,
18,23/03/25,,,singles,,,,,,,BELLVITGE ALHEÑA,B,12706,MUR Francisco,1,,,,,,FORN BERTRAN BADALONA,Z,13638,GUTIÉRREZ Marc,3,,,,
18,22/03/25,,,singles,,,,,,,CTT SALLENT,A,11240,PONS Ignasi,0,,,,,,CTT OLESA,Y,15615,BRANDARIZ Victor,3,,,,
