jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
6,20/11/22,,,singles,,,,,,,BELLVITGE ALHEÑA,A,5487,GARCIA Tomas,3,,,,,,CTT BARCELONA ''B'',Y,13606,RODRIGUEZ Leo,2,,,,
6,20/11/22,,,singles,,,,,,,BELLVITGE ALHEÑA,B,5678,PARRA Renato Adriano,3,,,,,,CTT BARCELONA ''B'',X,11984,GAVIRA Raphael,2,,,,
6,20/11/22,,,singles,,,,,,,BELLVITGE ALHEÑA,C,13181,MORÓN Manuel,3,,,,,,CTT BARCELONA ''B'',Z,10640,CARLES Pol,2,,,,
6,20/11/22,,,singles,,,,,,,BELLVITGE ALHEÑA,A,5487,GARCIA Tomas,0,,,,,,CTT BARCELONA ''B'',X,11984,GAVIRA Raphael,3,,,,
6,20/11/22,,,singles,,,,,,,BELLVITGE ALHEÑA,C,13181,MORÓN Manuel,3,,,,,,CTT BARCELONA ''B'',Y,13606,RODRIGUEZ Leo,1,,,,
6,20/11/22,,,singles,,,,,,,BELLVITGE ALHEÑA,B,5678,PARRA Renato Adriano,3,,,,,,CTT BARCELONA ''B'',Z,10640,CARLES Pol,0,,,,
6,20/11/22,,,singles,,,,,,,MEXCLAT BADALONA,X,12491,NAVARRO Arnau,3,,,,,,CTT POBLENOU,B,12251,ALONSO Joan,1,,,,
6,20/11/22,,,singles,,,,,,,MEXCLAT BADALONA,Z,8128,PINEDA Jordi,3,,,,,,CTT POBLENOU,C,483,CASTILLO Antonio,2,,,,
6,20/11/22,,,singles,,,,,,,MEXCLAT BADALONA,Y,14988,LUCAS Pablo,1,,,,,,CTT POBLENOU,C,483,CASTILLO Antonio,3,,,,
6,20/11/22,,,singles,,,,,,,MEXCLAT BADALONA,Z,8128,PINEDA Jordi,2,,,,,,CTT POBLENOU,B,12251,ALONSO Joan,3,,,,
6,19/11/22,,,singles,,,,,,,CTT VILAFRANCA,Y,6656,ALVAREZ Antonio,3,,,,,,FALCONS DE SABADELL A.E.,A,4569,FERRER Jose Ernesto,0,,,,
6,19/11/22,,,singles,,,,,,,CTT VILAFRANCA,X,321,JUAN Alfredo,3,,,,,,FALCONS DE SABADELL A.E.,B,10148,PLAZA Santi,0,,,,
6,19/11/22,,,singles,,,,,,,CTT VILAFRANCA,Z,7547,APARICIO David,3,,,,,,FALCONS DE SABADELL A.E.,C,13072,LIMACHE Elias,0,,,,
6,19/11/22,,,singles,,,,,,,CTT VILAFRANCA,X,321,JUAN Alfredo,3,,,,,,FALCONS DE SABADELL A.E.,A,4569,FERRER Jose Ernesto,0,,,,
6,19/11/22,,,singles,,,,,,,CTT VILAFRANCA,Y,6656,ALVAREZ Antonio,3,,,,,,FALCONS DE SABADELL A.E.,C,13072,LIMACHE Elias,0,,,,
6,19/11/22,,,singles,,,,,,,CTT VILAFRANCA,Z,7547,APARICIO David,3,,,,,,FALCONS DE SABADELL A.E.,B,10148,PLAZA Santi,0,,,,
6,20/11/22,,,singles,,,,,,,TT C. JEMA,A,8702,TAPIA Andres,0,,,,,,TT L'HOSPITALET ''A'',Y,4544,ALVAREZ David,3,,,,
