jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
1,01/10/23,,,singles,,,,,,,CTT CARDEDEU EIG,A,7711,CARRASCO Francisco,3,,,,,,CTT RIPOLLET,Y,10912,SILVA Adrian,0,,,,
1,01/10/23,,,singles,,,,,,,CTT CARDEDEU EIG,B,12409,TOURÓN Ivan,2,,,,,,CTT RIPOLLET,X,6482,OLTENAS Viorel,3,,,,
1,01/10/23,,,singles,,,,,,,CTT CARDEDEU EIG,C,5399,CASTRO Ismael,2,,,,,,CTT RIPOLLET,Z,7663,PASTRANA Juan Manuel,3,,,,
1,01/10/23,,,singles,,,,,,,CTT CARDEDEU EIG,A,7711,CARRASCO Francisco,3,,,,,,CTT RIPOLLET,X,6482,OLTENAS Viorel,0,,,,
1,01/10/23,,,singles,,,,,,,CTT CARDEDEU EIG,C,5399,CASTRO Ismael,2,,,,,,CTT RIPOLLET,Y,10912,SILVA Adrian,3,,,,
1,01/10/23,,,singles,,,,,,,CTT CARDEDEU EIG,B,12409,TOURÓN Ivan,3,,,,,,CTT RIPOLLET,Z,7663,PASTRANA Juan Manuel,1,,,,
1,30/09/23,,,singles,,,,,,,EL CENTRE,Y,5759,BADIA Albert,0,,,,,,CTT ATENEU 1882,A,8429,MARTINEZ Eva,3,,,,
1,30/09/23,,,singles,,,,,,,EL CENTRE,X,17614,CAMBRA Jhonnatan Aleja,3,,,,,,CTT ATENEU 1882,B,5008,FERNANDEZ Sergio,0,,,,
1,30/09/23,,,singles,,,,,,,EL CENTRE,Z,15561,SARMIENTO Joel,1,,,,,,CTT ATENEU 1882,C,6144,PEREZ Pablo,3,,,,
1,30/09/23,,,singles,,,,,,,EL CENTRE,X,17614,CAMBRA Jhonnatan Aleja,3,,,,,,CTT ATENEU 1882,A,8429,MARTINEZ Eva,1,,,,
1,30/09/23,,,singles,,,,,,,EL CENTRE,Y,5759,BADIA Albert,0,,,,,,CTT ATENEU 1882,C,6144,PEREZ Pablo,3,,,,
1,30/09/23,,,singles,,,,,,,EL CENTRE,Z,15561,SARMIENTO Joel,3,,,,,,CTT ATENEU 1882,B,5008,FERNANDEZ Sergio,0,,,,
1,01/10/23,,,singles,,,,,,,CTT CASTELLDEFELS,B,3970,GUTIERREZ Sergio,3,,,,,,CETT ESPARREGUERA,X,12831,HERNÁNDEZ Pol,0,,,,
