jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
14,04/02/24,,,singles,,,,,,,CC SANTS,Y,15977,LAURI Vili,3,,,,,,ATT CASTELLAR,A,6937,FONT Lluis,0,,,,
14,04/02/24,,,singles,,,,,,,CC SANTS,X,17719,GUZMAN Christian,3,,,,,,ATT CASTELLAR,B,12057,MONTALBAN Xavi,2,,,,
14,04/02/24,,,singles,,,,,,,CC SANTS,Z,319,PEDRÓ Santiago,3,,,,,,ATT CASTELLAR,C,2396,LOPEZ Antoni,0,,,,
14,04/02/24,,,singles,,,,,,,CC SANTS,X,17719,GUZMAN Christian,1,,,,,,ATT CASTELLAR,A,6937,FONT Lluis,3,,,,
14,04/02/24,,,singles,,,,,,,CC SANTS,Y,15977,LAURI Vili,3,,,,,,ATT CASTELLAR,C,2396,LOPEZ Antoni,0,,,,
14,04/02/24,,,singles,,,,,,,CC SANTS,Z,319,PEDRÓ Santiago,3,,,,,,ATT CASTELLAR,B,12057,MONTALBAN Xavi,0,,,,
14,04/02/24,,,singles,,,,,,,CTT COLLBATO,A,13214,CASCANTE Josep Maria,1,,,,,,PROTEC BADALONA,Y,4142,SALGUERO Albert,3,,,,
14,04/02/24,,,singles,,,,,,,CTT COLLBATO,B,16294,CUADROS Roberto,0,,,,,,PROTEC BADALONA,X,14077,NÚÑEZ Pol,3,,,,
14,04/02/24,,,singles,,,,,,,CTT COLLBATO,C,509,GOTSENS Enric,2,,,,,,PROTEC BADALONA,Z,12059,REQUENA Saúl,3,,,,
14,04/02/24,,,singles,,,,,,,CTT COLLBATO,A,13214,CASCANTE Josep Maria,3,,,,,,PROTEC BADALONA,X,14077,NÚÑEZ Pol,0,,,,
14,04/02/24,,,singles,,,,,,,CTT COLLBATO,C,509,GOTSENS Enric,3,,,,,,PROTEC BADALONA,Y,4142,SALGUERO Albert,1,,,,
14,04/02/24,,,singles,,,,,,,CTT COLLBATO,B,16294,CUADROS Roberto,2,,,,,,PROTEC BADALONA,Z,12059,REQUENA Saúl,3,,,,
14,04/02/24,,,singles,,,,,,,CTT VILANOVA I LA GELTRU,A,17643,DEL RIO Joaquin,0,,,,,,ATT PREMIÀ DE MAR,Y,1016,GARCIA David,3,,,,
14,04/02/24,,,singles,,,,,,,CTT VILANOVA I LA GELTRU,B,15001,MALVAR Juan Andres,0,,,,,,ATT PREMIÀ DE MAR,X,6309,PEREZ Miguel,3,,,,
14,04/02/24,,,singles,,,,,,,CTT VILANOVA I LA GELTRU,C,17644,NICOLIN Fabrice,0,,,,,,ATT PREMIÀ DE MAR,Z,69,VILARO Joan Mª,3,,,,
14,04/02/24,,,singles,,,,,,,CTT VILANOVA I LA GELTRU,A,17643,DEL RIO Joaquin,1,,,,,,ATT PREMIÀ DE MAR,X,6309,PEREZ Miguel,3,,,,
