jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
4,24/10/23,,,singles,,,,,,,CTT VILAFRANCA,A,241,MARTINEZ Josep,3,,,,,,CTT DELS HORTS 2000,Y,687,BARCOJO Antonio,0,,,,
4,24/10/23,,,singles,,,,,,,CTT VILAFRANCA,B,6129,ALCALA Olegario Basilio,0,,,,,,CTT DELS HORTS 2000,X,227,CREIXELL Josep,3,,,,
4,24/10/23,,,singles,,,,,,,CTT VILAFRANCA,C,302,ESCUDERO Josep Maria,3,,,,,,CTT DELS HORTS 2000,Z,196,GUZMÁN Josep Maria,2,,,,
4,24/10/23,,,singles,,,,,,,CTT VILAFRANCA,A,241,MARTINEZ Josep,3,,,,,,CTT DELS HORTS 2000,X,227,CREIXELL Josep,0,,,,
4,24/10/23,,,singles,,,,,,,CTT VILAFRANCA,C,302,ESCUDERO Josep Maria,3,,,,,,CTT DELS HORTS 2000,Y,687,BARCOJO Antonio,0,,,,
4,24/10/23,,,singles,,,,,,,CTT VILAFRANCA,B,6129,ALCALA Olegario Basilio,1,,,,,,CTT DELS HORTS 2000,Z,196,GUZMÁN Josep Maria,3,,,,
4,24/10/23,,,singles,,,,,,,SURIS CALELLA,Y,12195,SAÑA Orlando,3,,,,,,LLUÏSOS DE GRÀCIA,A,3332,CARBO Jose Mª,0,,,,
4,24/10/23,,,singles,,,,,,,SURIS CALELLA,X,2030,SANCHEZ Josep,3,,,,,,LLUÏSOS DE GRÀCIA,B,5171,RAMOS Carlos,2,,,,
4,24/10/23,,,singles,,,,,,,SURIS CALELLA,Z,150,FONT Jordi,0,,,,,,LLUÏSOS DE GRÀCIA,C,417,KRAWCZYK Guido,3,,,,
4,24/10/23,,,singles,,,,,,,SURIS CALELLA,X,2030,SANCHEZ Josep,3,,,,,,LLUÏSOS DE GRÀCIA,A,3332,CARBO Jose Mª,2,,,,
4,24/10/23,,,singles,,,,,,,SURIS CALELLA,Y,12195,SAÑA Orlando,3,,,,,,LLUÏSOS DE GRÀCIA,C,417,KRAWCZYK Guido,0,,,,
4,24/10/23,,,singles,,,,,,,SURIS CALELLA,Z,150,FONT Jordi,2,,,,,,LLUÏSOS DE GRÀCIA,B,5171,RAMOS Carlos,3,,,,
4,24/10/23,,,singles,,,,,,,EL CERCLE TT GRÀCIA,Y,5395,PLANAS Josep,3,,,,,,EL CIERVO ''A'',A,5522,GUINOVART Antonio,1,,,,
4,24/10/23,,,singles,,,,,,,EL CERCLE TT GRÀCIA,X,329,CASABONA Oscar,3,,,,,,EL CIERVO ''A'',B,16279,VALLES Mario,2,,,,
4,24/10/23,,,singles,,,,,,,EL CERCLE TT GRÀCIA,Z,361,CASANOVA Santiago,3,,,,,,EL CIERVO ''A'',C,194,AGEA Rafael,0,,,,
4,24/10/23,,,singles,,,,,,,EL CERCLE TT GRÀCIA,X,329,CASABONA Oscar,3,,,,,,EL CIERVO ''A'',A,5522,GUINOVART Antonio,1,,,,
4,24/10/23,,,singles,,,,,,,EL CERCLE TT GRÀCIA,Y,5395,PLANAS Josep,3,,,,,,EL CIERVO ''A'',C,194,AGEA Rafael,2,,,,
4,24/10/23,,,singles,,,,,,,EL CERCLE TT GRÀCIA,Z,361,CASANOVA Santiago,3,,,,,,EL CIERVO ''A'',B,16279,VALLES Mario,1,,,,
4,24/10/23,,,singles,,,,,,,CTT OLESA,A,308,GARCIA Benito,3,,,,,,TT PARETS,Y,809,RIVERA Jordi,0,,,,
4,24/10/23,,,singles,,,,,,,CTT OLESA,B,631,RUIZ Cristobal,3,,,,,,TT PARETS,X,3468,MOMPART Jordi,0,,,,
4,24/10/23,,,singles,,,,,,,CTT OLESA,C,2290,MOSCOSO Renato Victor,3,,,,,,TT PARETS,Z,6184,GRAU Xavier,0,,,,
4,24/10/23,,,singles,,,,,,,CTT OLESA,A,308,GARCIA Benito,3,,,,,,TT PARETS,X,3468,MOMPART Jordi,0,,,,
4,24/10/23,,,singles,,,,,,,CTT OLESA,C,2290,MOSCOSO Renato Victor,3,,,,,,TT PARETS,Y,809,RIVERA Jordi,0,,,,
4,24/10/23,,,singles,,,,,,,CTT OLESA,B,631,RUIZ Cristobal,3,,,,,,TT PARETS,Z,6184,GRAU Xavier,1,,,,
