jornada,match_date,venue,referee,game_type,set1,set2,set3,set4,set5,home_team_id,home_team,home_position,home_player_lic,home_player_name,game_result_home,home_player2_lic,home_player2_name,match_score_home,running_score_home,away_team_id,away_team,away_position,away_player_lic,away_player_name,game_result_away,away_player2_lic,away_player2_name,match_score_away,running_score_away
4,16/11/21,,,singles,,,,,,,ATT PREMIÀ DE MAR,Y,612,BALLESTA Lluis Carles,0,,,,,,CTT SANT QUIRZE DEL VALLÈS,A,3484,FERRERA Carlos Augusto,3,,,,
4,16/11/21,,,singles,,,,,,,ATT PREMIÀ DE MAR,X,2983,ESCOLA Francisco Javier,3,,,,,,CTT SANT QUIRZE DEL VALLÈS,B,15087,BOSCH Oriol,0,,,,
4,16/11/21,,,singles,,,,,,,ATT PREMIÀ DE MAR,Z,203,GUAL Jordi,0,,,,,,CTT SANT QUIRZE DEL VALLÈS,C,14565,MATTSSON Tony Michael,3,,,,
4,16/11/21,,,singles,,,,,,,ATT PREMIÀ DE MAR,X,2983,ESCOLA Francisco Javier,0,,,,,,CTT SANT QUIRZE DEL VALLÈS,A,3484,FERRERA Carlos Augusto,3,,,,
4,16/11/21,,,singles,,,,,,,ATT PREMIÀ DE MAR,Y,612,BALLESTA Lluis Carles,2,,,,,,CTT SANT QUIRZE DEL VALLÈS,C,14565,MATTSSON Tony Michael,3,,,,
4,16/11/21,,,singles,,,,,,,ATT PREMIÀ DE MAR,Z,203,GUAL Jordi,0,,,,,,CTT SANT QUIRZE DEL VALLÈS,B,15087,BOSCH Oriol,3,,,,
4,16/11/21,,,singles,,,,,,,TT PRAT,A,842,RUIZ Amador,3,,,,,,SURIS CALELLA,Y,93,PUIG Jaume,1,,,,
4,16/11/21,,,singles,,,,,,,TT PRAT,B,5638,RABADAN Luis,1,,,,,,SURIS CALELLA,X,12195,SAÑA Orlando,3,,,,
4,16/11/21,,,singles,,,,,,,TT PRAT,C,684,JULIÀ Fèlix,0,,,,,,SURIS CALELLA,Z,14195,PETRAGUE Alain,3,,,,
4,16/11/21,,,singles,,,,,,,TT PRAT,A,842,RUIZ Amador,3,,,,,,SURIS CALELLA,X,12195,SAÑA Orlando,0,,,,
4,16/11/21,,,singles,,,,,,,TT PRAT,C,684,JULIÀ Fèlix,3,,,,,,SURIS CALELLA,Y,93,PUIG Jaume,2,,,,
4,16/11/21,,,singles,,,,,,,TT PRAT,B,5638,RABADAN Luis,0,,,,,,SURIS CALELLA,Z,14195,PETRAGUE Alain,3,,,,
4,16/11/21,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,Y,2159,GARCIA Daniel,3,,,,,,TT PARETS,A,3468,MOMPART Jordi,1,,,,
4,16/11/21,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,X,615,VICENTE Marcos,2,,,,,,TT PARETS,B,809,RIVERA Jordi,3,,,,
4,16/11/21,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,Z,27,MADURELL Josep,2,,,,,,TT PARETS,C,210,CAPARROS Agustín,3,,,,
4,16/11/21,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,X,615,VICENTE Marcos,3,,,,,,TT PARETS,A,3468,MOMPART Jordi,1,,,,
4,16/11/21,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,Y,2159,GARCIA Daniel,3,,,,,,TT PARETS,C,210,CAPARROS Agustín,1,,,,
4,16/11/21,,,singles,,,,,,,AGRUPACIÓ CONGRÉS,Z,27,MADURELL Josep,2,,,,,,TT PARETS,B,809,RIVERA Jordi,3,,,,
4,16/11/21,,,singles,,,,,,,LLUÏSOS DE GRÀCIA,A,750,PEREZ Fabio Rodrigo,3,,,,,,EL CIERVO,Y,11784,MORAN Francisco Jose,1,,,,
4,16/11/21,,,singles,,,,,,,LLUÏSOS DE GRÀCIA,B,5171,RAMOS Carlos,1,,,,,,EL CIERVO,X,5522,GUINOVART Antonio,3,,,,
4,16/11/21,,,singles,,,,,,,LLUÏSOS DE GRÀCIA,C,417,KRAWCZYK Guido,1,,,,,,EL CIERVO,Z,194,AGEA Rafael,3,,,,
4,16/11/21,,,singles,,,,,,,LLUÏSOS DE GRÀCIA,A,750,PEREZ Fabio Rodrigo,3,,,,,,EL CIERVO,X,5522,GUINOVART Antonio,0,,,,
4,16/11/21,,,singles,,,,,,,LLUÏSOS DE GRÀCIA,C,417,KRAWCZYK Guido,0,,,,,,EL CIERVO,Y,11784,MORAN Francisco Jose,3,,,,
4,16/11/21,,,singles,,,,,,,LLUÏSOS DE GRÀCIA,B,5171,RAMOS Carlos,1,,,,,,EL CIERVO,Z,194,AGEA Rafael,3,,,,
